Skor_CFIT,Skor_APM,Skor_WA,skor_AN,AVG_ RA_ZR,AVG_FA_WU,skor Bisnis,Skor_sosial,Skor_desain,Skor_hitungan,Ket_ES,Ket_RE,Ket_AVG_4-6-8,skor_ACT,skor_DES,skor_FEAS,E1_Score,E2_Score,E3_Score,E4_Score,E5_Score,E6_Score,AVG_E,IPK
13.0,15.0,12.0,14.0,11.5,12.5,20.0,17.0,4.0,2.0,Tinggi,Baik,Tinggi,19.965858076711033,16.988093519988457,15.953681710213777,A,A,A,A,A,B+,89.99916666666667,3.76
16.0,13.0,13.0,12.0,12.0,11.5,20.0,19.0,1.0,3.0,Kurang,Baik,Cukup,17.445577695518626,13.52439024390244,17.616389548693586,A-,A-,B+,A-,A-,B,79.995,3.26
18.0,15.0,13.0,10.0,13.0,14.0,19.0,11.0,12.0,4.0,Rendah,Cukup,Cukup,20.280893124360084,17.27673545966229,17.85391923990499,B,B,A-,A-,A-,B+,78.32833333333333,3.29
9.0,14.0,11.0,12.0,9.0,8.0,11.0,13.0,9.0,5.0,Baik,Tinggi,Baik,20.280893124360084,15.544883821619283,18.09144893111639,B+,B,B,A-,A,B+,79.16250000000001,3.29
15.0,18.0,15.0,12.0,12.0,12.0,11.0,13.0,12.0,6.0,Baik,Cukup,Baik,15.240332361975268,12.947106364554772,15.716152019002376,A-,B+,A-,B+,A-,B+,79.995,3.49
16.0,9.0,12.0,12.0,11.0,10.0,20.0,16.0,9.0,3.0,Baik,Baik,Tinggi,20.280893124360084,17.85401933900996,19.279097387173397,A-,B,A-,B+,A-,B+,79.16166666666668,3.33
17.0,12.0,12.0,12.0,13.0,11.5,16.0,16.0,14.0,1.0,Baik,Baik,Baik,11.774946837835707,7.174267571078079,10.252969121140143,A,B+,A-,B+,A-,B+,81.66250000000001,3.5
9.0,9.0,10.0,12.0,10.0,9.5,20.0,14.0,4.0,6.0,Rendah,Kurang,Cukup,20.280893124360084,15.833525761293117,16.19121140142518,A,B+,A,A-,A-,B,83.33,3.38
7.0,6.0,10.0,11.0,9.5,10.5,14.0,11.0,12.0,1.0,Cukup,Baik,Cukup,20.280893124360084,13.235748304228606,15.953681710213777,A-,B+,A-,B+,A-,B,79.16166666666668,3.33
13.0,11.0,12.0,10.0,11.0,9.5,15.0,14.0,2.0,3.0,Rendah,Cukup,Cukup,19.33578798141293,13.813032183576276,17.141330166270784,B,A-,B+,A,B+,B,79.16250000000001,3.18
15.0,16.0,12.0,9.0,11.5,9.5,19.0,15.0,6.0,1.0,Kurang,Baik,Cukup,16.815507600220524,13.235748304228606,16.903800475059384,B,B+,A,B+,B+,B+,79.16250000000001,3.22
10.0,18.0,12.0,11.0,12.5,12.0,20.0,13.0,9.0,7.0,Rendah,Cukup,Cukup,19.965858076711033,13.52439024390244,16.19121140142518,B,B,B,B+,B+,B+,74.995,2.94
16.0,15.0,10.0,12.0,12.5,12.5,20.0,17.0,9.0,6.0,Baik,Baik,Baik,17.130542647869575,13.52439024390244,13.103325415676961,B+,B+,A-,A,A-,B+,81.66250000000001,3.39
10.0,12.0,12.0,12.0,9.0,11.0,20.0,10.0,5.0,13.0,Cukup,Baik,Cukup,,19.0085870977053,18.328978622327792,B,B+,B,A,A-,A,81.66333333333334,3.18
16.0,18.0,12.0,10.0,11.0,12.0,20.0,14.0,12.0,3.0,Kurang,Kurang,Cukup,20.280893124360084,16.410809640640785,15.953681710213777,A-,B+,B,A-,A-,B,78.32833333333333,3.37
12.0,11.0,12.0,10.0,10.0,11.5,16.0,9.0,11.0,3.0,Baik,Tinggi,Baik,15.555367409624319,13.235748304228606,14.52850356294537,B+,A-,A,A,A-,C+,81.66333333333334,3.36
12.0,6.0,11.0,10.0,10.5,11.0,12.0,9.0,11.0,1.0,Cukup,Cukup,Baik,18.70571788611483,12.947106364554772,12.628266033254159,A-,B,B+,A,A-,B+,80.82916666666667,3.22
13.0,8.0,13.0,11.0,9.0,11.0,11.0,14.0,6.0,3.0,Kurang,Rendah,Cukup,18.075647790816728,12.947106364554772,15.478622327790974,B+,B+,A,A-,B+,B,79.99583333333334,3.31
5.0,7.0,12.0,10.0,9.5,9.5,,,,,Rendah,Kurang,Kurang,17.445577695518626,12.658464424880936,15.716152019002376,B+,B,A-,B,B,B,74.995,3.06
13.0,18.0,12.0,13.0,11.5,12.0,14.0,13.0,10.0,7.0,Cukup,Baik,Baik,,17.565377399336125,17.616389548693586,B,B,A,A-,A-,B+,79.99583333333334,3.47
9.0,18.0,12.0,10.0,11.0,11.0,20.0,10.0,7.0,1.0,Baik,Baik,Tinggi,19.965858076711033,15.256241881945448,16.903800475059384,B,B,A-,A-,A,B,79.16250000000001,3.52
17.0,18.0,12.0,12.0,11.5,11.0,13.0,11.0,5.0,2.0,Cukup,Baik,Cukup,18.075647790816728,18.431303218357627,16.19121140142518,A-,A,A,A,A,A,90.8325,3.78
16.0,18.0,10.0,12.0,12.0,12.0,14.0,13.0,6.0,6.0,Kurang,Cukup,Cukup,17.445577695518626,12.369822485207102,16.66627078384798,A-,A-,B+,A,B+,B,80.82916666666667,3.66
14.0,15.0,12.0,11.0,12.5,9.5,20.0,11.0,8.0,4.0,Rendah,Kurang,Kurang,18.075647790816728,14.967599942271614,16.19121140142518,B,B,B+,A-,A-,B+,77.495,3.44
14.0,16.0,11.0,12.0,12.5,10.0,18.0,15.0,7.0,8.0,Cukup,Baik,Cukup,15.555367409624319,14.390316062923944,14.053444180522566,A-,B,A,A,A-,B,82.49666666666667,3.65
13.0,15.0,9.0,10.0,10.5,9.0,20.0,13.0,15.0,1.0,Baik,Baik,Cukup,,,,B,B+,B+,C,B,B,71.66166666666668,2.94
12.0,11.0,12.0,10.0,10.0,10.5,13.0,12.0,12.0,2.0,Baik,Rendah,Cukup,20.280893124360084,16.12216770096695,16.903800475059384,B,B,B,A-,A-,B,75.82833333333333,3.27
15.0,13.0,12.0,10.0,10.5,10.0,16.0,14.0,9.0,1.0,Baik,Baik,Baik,18.075647790816728,13.813032183576276,16.903800475059384,A-,B,A-,A-,A,B+,81.66250000000001,3.3
13.0,13.0,12.0,11.0,12.0,9.5,16.0,16.0,11.0,1.0,Baik,Cukup,Kurang,20.280893124360084,16.12216770096695,17.85391923990499,A-,B,A,A,A-,B+,83.33,3.21
18.0,18.0,14.0,12.0,13.0,13.5,18.0,12.0,12.0,10.0,Cukup,Cukup,Baik,,19.0085870977053,19.7541567695962,B,A-,B,B+,B,B,74.995,2.93
13.0,12.0,11.0,10.0,9.5,11.0,20.0,14.0,8.0,6.0,Kurang,Kurang,Cukup,20.280893124360084,16.12216770096695,16.903800475059384,A-,B,B,A-,A,B+,79.99583333333334,3.37
10.0,5.0,10.0,10.0,9.0,9.5,16.0,11.0,11.0,1.0,Tinggi,Baik,Tinggi,18.70571788611483,14.10167412325011,17.378859857482187,B,B,B,A-,A-,B+,76.66166666666668,3.25
13.0,12.0,10.0,10.0,11.0,11.5,12.0,12.0,13.0,1.0,Baik,Cukup,Baik,,,,A-,A-,A,B+,B+,B,80.82916666666667,3.17
8.0,11.0,8.0,11.0,10.0,10.5,20.0,10.0,6.0,3.0,Cukup,Cukup,Kurang,,15.256241881945448,19.279097387173397,B,B+,A-,A-,B,A-,78.32833333333333,3.01
7.0,5.0,9.0,10.0,8.5,10.0,19.0,14.0,7.0,7.0,Cukup,Cukup,Cukup,,17.85401933900996,19.279097387173397,B+,B,B,A-,A-,B+,77.495,3.15
13.0,11.0,11.0,10.0,9.0,10.0,20.0,18.0,11.0,3.0,Baik,Baik,Cukup,20.280893124360084,16.12216770096695,16.19121140142518,A-,B,A-,B,A,B+,79.99583333333334,3.39
6.0,5.0,10.0,10.0,10.0,8.5,20.0,20.0,5.0,1.0,Baik,Cukup,Cukup,18.70571788611483,14.967599942271614,16.19121140142518,B,A-,A,A,A-,A-,84.16333333333334,3.44
14.0,13.0,12.0,12.0,9.5,9.0,20.0,20.0,7.0,3.0,Kurang,Cukup,Kurang,20.280893124360084,17.85401933900996,17.378859857482187,A-,A,B+,A,A,B+,85.83083333333333,3.63
11.0,10.0,12.0,11.0,11.0,9.0,20.0,20.0,3.0,1.0,Baik,Baik,Baik,18.075647790816728,14.390316062923944,16.19121140142518,A,B,A,A,A,B,85.83166666666666,3.31
12.0,14.0,11.0,10.0,10.5,11.5,20.0,15.0,1.0,9.0,Rendah,Baik,Kurang,19.33578798141293,13.235748304228606,16.903800475059384,B+,B,B,A,A-,A-,79.99583333333334,3.09
11.0,15.0,10.0,11.0,12.5,12.5,20.0,12.0,3.0,16.0,Cukup,Tinggi,Baik,,17.85401933900996,19.7541567695962,B,A,B+,A-,B+,A-,80.82916666666667,3.64
16.0,18.0,14.0,14.0,12.5,14.0,20.0,7.0,6.0,13.0,Baik,Baik,Baik,18.70571788611483,19.8745129167268,17.616389548693586,B,B,B+,B+,B+,A,78.32916666666667,3.12
15.0,12.0,12.0,12.0,11.0,9.5,20.0,15.0,2.0,8.0,Cukup,Kurang,Cukup,20.280893124360084,14.390316062923944,18.328978622327792,B+,B,A-,B,B+,A-,77.495,2.8
5.0,12.0,14.0,14.0,11.5,13.0,16.0,15.0,1.0,13.0,Kurang,Baik,Cukup,20.280893124360084,14.67895800259778,19.9916864608076,B+,B+,B,A-,B+,B,76.66166666666668,2.94
13.0,12.0,10.0,12.0,13.5,11.5,18.0,17.0,1.0,16.0,Kurang,Cukup,Cukup,20.280893124360084,13.235748304228606,19.7541567695962,B+,A-,A-,A-,B+,A-,80.82833333333333,3.06
18.0,18.0,14.0,12.0,13.0,12.0,13.0,12.0,8.0,16.0,Cukup,Baik,Cukup,19.33578798141293,13.52439024390244,15.716152019002376,B+,B,B+,A,B,A-,79.16250000000001,3.45
18.0,18.0,12.0,10.0,13.5,11.0,20.0,18.0,4.0,16.0,Cukup,Cukup,Baik,20.280893124360084,13.813032183576276,18.566508313539195,A-,B+,A,A,B+,A,85.83083333333333,3.3
16.0,18.0,12.0,12.0,9.5,12.0,9.0,10.0,10.0,16.0,Baik,Tinggi,Baik,19.02075293376388,13.52439024390244,15.241092636579573,B,B,B,B+,B,A-,74.995,3.32
10.0,13.0,10.0,10.0,11.5,11.0,20.0,13.0,5.0,11.0,Cukup,Cukup,Baik,20.280893124360084,16.12216770096695,19.041567695961994,B+,B,A-,B+,B+,A,79.99583333333334,2.95
15.0,18.0,12.0,12.0,12.5,13.0,11.0,12.0,10.0,17.0,Baik,Baik,Baik,19.02075293376388,13.813032183576276,17.616389548693586,A,A,A-,A,A-,A-,87.4975,3.48
16.0,17.0,13.0,12.0,14.0,12.0,11.0,11.0,2.0,16.0,Baik,Baik,Baik,20.280893124360084,19.0085870977053,18.328978622327792,B+,B+,B,A-,B+,A-,78.32833333333333,3.53
18.0,17.0,10.0,13.0,11.5,11.0,10.0,10.0,6.0,5.0,Rendah,Baik,Cukup,19.965858076711033,15.544883821619283,15.953681710213777,B,B,B+,A-,B,B+,75.82833333333333,3.54
18.0,18.0,12.0,8.0,13.5,12.5,17.0,7.0,11.0,7.0,Baik,Baik,Baik,19.650823029061982,14.390316062923944,15.716152019002376,A-,A-,A,A-,A-,A,85.83,3.03
